logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
intentional,0,"Skeptics have long pointed to ice gain in the Southern Hemisphere as evidence climate change wasn ’ t occurring , but scientists warned that it was caused by natural variations and circulations in the atmosphere .", Skeptics use ice gain in the Southern Hemisphere as evidence climate change is not occurring.  , Ice gain in the Southern Hemisphere is caused by natural variations and circulations in the atmosphere.,"UsesIceGain(c, a),  IsInSouthernHemisphere(a, b),  IsEvidenceAgainst(c, d)","IsInSouthernHemisphere(a, b),  IsCausedByNaturalVariations(a, e),  IsCausedByCirculations(a, f),  IsInAtmosphere(f, g)",[],"[(' ice gain', ' Ice gain'), (' Southern Hemisphere', ' Southern Hemisphere')]",[],"UsesIceGain(c, a) and IsInSouthernHemisphere(a, b) and IsEvidenceAgainst(c, d)","IsInSouthernHemisphere(a, b) and (IsCausedByNaturalVariations(a, e) and IsCausedByCirculations(a, f)) and IsInAtmosphere(f, g)","(UsesIceGain(c, a) and IsInSouthernHemisphere(a, b) and IsEvidenceAgainst(c, d)) -> (IsInSouthernHemisphere(a, b) and (IsCausedByNaturalVariations(a, e) and IsCausedByCirculations(a, f)) and IsInAtmosphere(f, g))","(exists c (exists b (exists d (exists a (UsesIceGain(c, a) and IsInSouthernHemisphere(a, b) and IsEvidenceAgainst(c, d)))))) -> (exists a (exists f (exists g (exists b (exists e (IsInSouthernHemisphere(a, b) and (IsCausedByNaturalVariations(a, e) and IsCausedByCirculations(a, f)) and IsInAtmosphere(f, g)))))))"
intentional,0,"Furthermore , the overall increases in such things as hurricanes and tornadoes have not materialized . Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past . Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past . Strong Sandy-type storms occur every year in all the major ocean basins… they just don ’ t happen to hit major metropolitan areas .", The overall increases in hurricanes and tornadoes have not materialized. The drought in the western U.S. is less severe than mega-droughts in the past. Recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past. Strong Sandy-type storms occur every year in all major ocean basins., Climate change impacts are not as severe as perceived.,"NotMaterialized(a),  IsIn(b, c),  LessSevere(b, d),  Occurs(e, f),  LessFrequent(e, g),  OccursEveryYear(h, i)",NotAsSevere(j),[],[],"[(' Overall increases in hurricanes and tornadoes', ' Climate change impacts'), (' drought', ' Climate change impacts'), (' mega-droughts', ' Climate change impacts'), (' recent major hurricane activity', ' Climate change impacts'), (' strong Sandy-type storms', ' Climate change impacts')]","NotMaterialized(a) and (IsIn(b, c) and LessSevere(b, d)) and (Occurs(e, f) and LessFrequent(e, g)) and OccursEveryYear(h, i)",NotAsSevere(j),"(exists h (exists e (exists d (exists b (exists a (NotMaterialized(a) and (IsIn(b, c) and LessSevere(b, d)) and (Occurs(e, f) and LessFrequent(e, g)) and OccursEveryYear(h, i))))))) -> (forall j (NotAsSevere(j)))","(exists a (exists i (exists d (exists g (exists f (exists h (exists b (exists c (exists e (NotMaterialized(a) and (IsIn(b, c) and LessSevere(b, d)) and (Occurs(e, f) and LessFrequent(e, g)) and OccursEveryYear(h, i))))))))))) -> (exists j (NotAsSevere(j)))"
ad hominem,0,Should we trust these computer models of doom ?, There are computer models predicting doom.  , We should not trust computer models.,ArePredictingDoom(a),AreNotTrustworthy(a),[],"[(' Computer models', ' Computer models')]",[],ArePredictingDoom(a),AreNotTrustworthy(a),(ArePredictingDoom(a)) -> (AreNotTrustworthy(a)),(exists a (ArePredictingDoom(a))) -> (exists a (AreNotTrustworthy(a)))
false causality,0,"The rise in Arctic temperatures is probably also tied to a sudden warming of the stratosphere , the atmospheric layer about 30,000 feet high — above where most weather happens — that occurred several weeks ago , Moore said .", The rise in Arctic temperatures is tied to a sudden warming of the stratosphere., The Arctic temperatures are rising.,"IsRising(a),  IsTiedTo(a, b),  IsSuddenlyWarmed(b)",IsRising(a),[],"[(' Arctic temperatures', ' The Arctic temperatures')]",[],"IsRising(a) and IsSuddenlyWarmed(b) and IsTiedTo(a, b)",IsRising(a),"(IsRising(a) and IsSuddenlyWarmed(b) and IsTiedTo(a, b)) -> (IsRising(a))","(exists a (exists b (IsRising(a) and IsSuddenlyWarmed(b) and IsTiedTo(a, b)))) -> (exists a (IsRising(a)))"
false dilemma,0,The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use ., The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use.  , Stopping global warming does not call for an end of coal use.,"Disputed(c),  StopsGlobalWarming(a),  CallsForEndOfCoalUse(b)","StopsGlobalWarming(a),  DoesNotCallForEndOfCoalUse(b)",[],"[(' global warming', ' Global warming'), (' coal use', ' coal use')]",[],Disputed(c) and (StopsGlobalWarming(a) and ~CallsForEndOfCoalUse(b)),StopsGlobalWarming(a) and DoesNotCallForEndOfCoalUse(b),(Disputed(c) and (StopsGlobalWarming(a) and ~CallsForEndOfCoalUse(b))) -> (StopsGlobalWarming(a) and DoesNotCallForEndOfCoalUse(b)),(exists c (exists b (exists a (Disputed(c) and (StopsGlobalWarming(a) and ~CallsForEndOfCoalUse(b)))))) -> (exists a (exists b (StopsGlobalWarming(a) and DoesNotCallForEndOfCoalUse(b))))
fallacy of logic,0,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .," ""Carbon dioxide is not a pollutant.""  "," ""It is dishonest to say carbon dioxide is a pollutant.""",IsNotPollutant(a),IsPollutant(a),[],"[(' Carbon dioxide', ' Carbon dioxide'), (' pollutant', ' pollutant')]","[(' Carbon dioxide', ' pollutant'), (' pollutant', ' Carbon dioxide')]",IsNotPollutant(a),~IsPollutant(a),(IsNotPollutant(a)) -> (~IsPollutant(a)),(exists a (IsNotPollutant(a))) -> (exists a (~IsPollutant(a)))
appeal to emotion,0,"“ It ’ s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period , ” he added .", The magnificent landscape can change fundamentally over a relatively short time period.  , The magnificent landscape will change.,"IsMagnificent(a),  CanChangeFundamentally(a),  IsRelativelyShort(b)","IsMagnificent(c),  WillChange(c)",[],[],[],IsMagnificent(a) and CanChangeFundamentally(a) and IsRelativelyShort(b),IsMagnificent(c) and WillChange(c),(IsMagnificent(a) and CanChangeFundamentally(a) and IsRelativelyShort(b)) -> (IsMagnificent(c) and WillChange(c)),(exists a (exists b (IsMagnificent(a) and CanChangeFundamentally(a) and IsRelativelyShort(b)))) -> (exists c (IsMagnificent(c) and WillChange(c)))
fallacy of credibility,0,"NASA honored him for this achievement , and he was an author for a previous edition of the U.N. report . He told a House Science Committee hearing in March 2017 that the U.N. climate models have failed badly . Christy compared the average model projections since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics .", Christy compared the average model projections since 1979 to the most reliable observations made by satellites and weather balloons over the vast tropics., The U.N. climate models are unreliable.,"ComparedTo(b, c),  MadeBy(c, d),  MadeBy(c, e),  Over(f)",AreUnreliable(g),[],[],[],"ComparedTo(b, c) and MadeBy(c, d) and MadeBy(c, e) and Over(f)",AreUnreliable(g),"(ComparedTo(b, c) and MadeBy(c, d) and MadeBy(c, e) and Over(f)) -> (AreUnreliable(g))","(exists d (exists f (exists b (exists c (exists e (ComparedTo(b, c) and MadeBy(c, d) and MadeBy(c, e) and Over(f))))))) -> (exists g (AreUnreliable(g)))"
appeal to emotion,0,"The 2009 Black Saturday bushfires , which claimed the lives of 173 Australians , are etched into the national consciousness . But in the heatwave that led up to the fires , the number of deaths soared .", The 2009 Black Saturday bushfires claimed the lives of 173 Australians., The number of deaths soared during the heatwave leading up to the fires.,"ClaimedLives(a, b),  AreAustralians(b, c)","Soared(d),  OccurredDuring(e, f)",[],[],"[(' The 2009 Black Saturday bushfires', ' fires')]","ClaimedLives(a, b) and AreAustralians(b, c)","Soared(d) and OccurredDuring(e, f)","(exists a (ClaimedLives(a, b) and AreAustralians(b, c))) -> (forall f (Soared(d) and OccurredDuring(e, f)))","(exists a (exists c (exists b (ClaimedLives(a, b) and AreAustralians(b, c))))) -> (exists e (exists f (exists d (Soared(d) and OccurredDuring(e, f)))))"
fallacy of credibility,0,Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :, A new study explains fluctuations of the earth's temperatures., Global warming alarmists will bury the study.,"IsNew(a),  ExplainsFluctuations(a, b)","WillBury(c, d)",[],[],[],"IsNew(a) and ExplainsFluctuations(a, b)","WillBury(c, d)","(IsNew(a) and ExplainsFluctuations(a, b)) -> (WillBury(c, d))","(exists a (exists b (IsNew(a) and ExplainsFluctuations(a, b)))) -> (exists c (exists d (WillBury(c, d))))"
ad hominem,0,Global warming activists ’ propensity for doing so shows just how little value they place in a truthful debate ., Global warming activists place little value in a truthful debate.  , Global warming activists do not value truth.,"PlacesLittleValueIn(a, b)","DoesNotValue(a, c)",[],"[(' Global warming activists', ' Global warming activists')]",[],"PlacesLittleValueIn(a, b)","DoesNotValue(a, c)","(PlacesLittleValueIn(a, b)) -> (DoesNotValue(a, c))","(exists a (exists b (PlacesLittleValueIn(a, b)))) -> (exists a (exists c (DoesNotValue(a, c))))"
intentional,0,"Some one billion people would be forced to attempt to relocate from unlivable conditions , and two billion would face scarcity of water supplies . Agriculture would collapse in the sub-tropics , and food production would suffer dramatically worldwide . The internal cohesion of nation-states like the US and China would unravel ."," One billion people would be forced to attempt to relocate from unlivable conditions, two billion would face scarcity of water supplies, agriculture would collapse in the sub-tropics, food production would suffer dramatically worldwide, and the internal cohesion of nation-states like the US and China would unravel.", Stability and well-being globally would be severely threatened.,"IsForcedToRelocate(a, b),  FacesScarcityOfWater(c, d),  Collapses(e, f),  SuffersDramatically(g),  Unravels(h, i),  IsNationState(j),  IsNationState(k)","IsThreatenedSeverely(l),  IsThreatenedSeverely(m)",[],[],"[(' sub-tropics', ' globally'), (' nation-states', ' globally'), (' China', ' globally')]","(IsForcedToRelocate(a, b) and FacesScarcityOfWater(c, d) and Collapses(e, f) and SuffersDramatically(g) and Unravels(h, i) and IsNationState(j) and IsNationState(k))",IsThreatenedSeverely(l) and IsThreatenedSeverely(m),"((IsForcedToRelocate(a, b) and FacesScarcityOfWater(c, d) and Collapses(e, f) and SuffersDramatically(g) and Unravels(h, i) and IsNationState(j) and IsNationState(k))) -> (IsThreatenedSeverely(l) and IsThreatenedSeverely(m))","(exists a (exists i (exists d (exists g (exists k (exists f (exists h (exists j (exists b (exists c (exists e ((IsForcedToRelocate(a, b) and FacesScarcityOfWater(c, d) and Collapses(e, f) and SuffersDramatically(g) and Unravels(h, i) and IsNationState(j) and IsNationState(k)))))))))))))) -> (exists l (exists m (IsThreatenedSeverely(l) and IsThreatenedSeverely(m))))"
appeal to emotion,0,"Interstates are under feet of water , local authorities have asked boat owners to join rescue efforts , and most of the streams and rivers near the city are in flood stage ."," Interstates are under feet of water, authorities asked boat owners to join rescue efforts, and streams and rivers near the city are in flood stage.  ", The city is experiencing severe flooding.,"UnderFeetOfWater(a),  AskedToJoin(b, c, d),  NearCity(e, g),  NearCity(f, g),  InFloodStage(e),  InFloodStage(f)",ExperiencingSevereFlooding(i),[],[],[],"UnderFeetOfWater(a) and AskedToJoin(b, c, d) and NearCity(e, g) and NearCity(f, g) and InFloodStage(e) and InFloodStage(f)",ExperiencingSevereFlooding(i),"(UnderFeetOfWater(a) and AskedToJoin(b, c, d) and NearCity(e, g) and NearCity(f, g) and InFloodStage(e) and InFloodStage(f)) -> (ExperiencingSevereFlooding(i))","(exists a (exists d (exists g (exists f (exists b (exists c (exists e (UnderFeetOfWater(a) and AskedToJoin(b, c, d) and NearCity(e, g) and NearCity(f, g) and InFloodStage(e) and InFloodStage(f))))))))) -> (exists i (ExperiencingSevereFlooding(i)))"
appeal to emotion,0,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape ."," Polar bears are moving from ice to land earlier and staying on land longer, extending the fasting season and showing signs of starvation.  ", Polar bears' hunting grounds are in worse shape.,"IsMovingFrom(a, b),  IsMovingTo(a, c),  IsOnLandLonger(a),  Extends(d),  ShowsSigns(e)",IsInWorseShape(f),[],[],"[(' ice', "" Polar bears' hunting grounds""), (' land', "" Polar bears' hunting grounds"")]","(IsMovingFrom(a, b) and IsMovingTo(a, c) and IsOnLandLonger(a)) and (Extends(d) and ShowsSigns(e))",IsInWorseShape(f),"(exists c (exists b ((IsMovingFrom(a, b) and IsMovingTo(a, c) and IsOnLandLonger(a)) and (Extends(d) and ShowsSigns(e))))) -> (forall f (IsInWorseShape(f)))","(exists a (exists d (exists b (exists c (exists e ((IsMovingFrom(a, b) and IsMovingTo(a, c) and IsOnLandLonger(a)) and (Extends(d) and ShowsSigns(e)))))))) -> (exists f (IsInWorseShape(f)))"
intentional,0,"If ECS is as low as the Energy Balance literature suggests , it means that the climate models we have been using for decades run too hot and need to be revised .", The Energy Balance literature suggests that ECS is low., Climate models run too hot and need revision.,"Suggests(a, b),  IsLow(b)","RunHot(c),  NeedRevision(c)",[],[],[],"Suggests(a, b) and IsLow(b)",RunHot(c) and NeedRevision(c),"(Suggests(a, b) and IsLow(b)) -> (RunHot(c) and NeedRevision(c))","(exists a (exists b (Suggests(a, b) and IsLow(b)))) -> (exists c (RunHot(c) and NeedRevision(c)))"
false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere .", The cost of weather disasters has risen over time.  , Modern society builds more infrastructure in areas prone to damage from weather.,HasRisenOverTime(a),BuildsMoreInfrastructureInAreasProneToDamageFromWeather(c),[],[],[],HasRisenOverTime(a),BuildsMoreInfrastructureInAreasProneToDamageFromWeather(c),(HasRisenOverTime(a)) -> (BuildsMoreInfrastructureInAreasProneToDamageFromWeather(c)),(exists a (HasRisenOverTime(a))) -> (exists c (BuildsMoreInfrastructureInAreasProneToDamageFromWeather(c)))
intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators ., Construction and maintenance of wind and solar facilities release more carbon dioxide than they save over their working lives and need to be supported 24/7 by coal-fired generators., Wind and solar facilities are not environmentally friendly.,"ReleasesMoreCO2(a),  SavesCO2(a),  NeedsSupport(a, d)",NotEnvironmentallyFriendly(e),[],[],"[(' Construction and maintenance of wind and solar facilities', ' Wind and solar facilities')]","(ReleasesMoreCO2(a) and ~SavesCO2(a)) and NeedsSupport(a, d)",NotEnvironmentallyFriendly(e),"(exists a ((ReleasesMoreCO2(a) and ~SavesCO2(a)) and NeedsSupport(a, d))) -> (forall e (NotEnvironmentallyFriendly(e)))","(exists a (exists d ((ReleasesMoreCO2(a) and ~SavesCO2(a)) and NeedsSupport(a, d)))) -> (exists e (NotEnvironmentallyFriendly(e)))"
intentional,0,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans ."," Others have argued that the records were caused by El Nino, a complex natural phenomenon.  ", The records have nothing to do with greenhouse gas emissions by humans.,"WereCausedBy(a, c),  IsComplexNaturalPhenomenon(c)","HaveNothingToDoWith(a, e),  AreBy(e, f)",[],"[(' the records', ' The records')]",[],"WereCausedBy(a, c) and IsComplexNaturalPhenomenon(c)","HaveNothingToDoWith(a, e) and AreBy(e, f)","(WereCausedBy(a, c) and IsComplexNaturalPhenomenon(c)) -> (HaveNothingToDoWith(a, e) and AreBy(e, f))","(exists a (exists c (WereCausedBy(a, c) and IsComplexNaturalPhenomenon(c)))) -> (exists a (exists e (exists f (HaveNothingToDoWith(a, e) and AreBy(e, f)))))"
fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon .", Salmon are crucial to their coastal ecosystem and a significant portion of the nitrogen in West Coast forests comes from salmon., The largest trees on Earth wouldn't exist without salmon.,"IsCrucialTo(a, b),  ComesFrom(c, a)","WouldNotExistWithout(e, a)",[],"[(' Salmon', ' salmon')]","[(' coastal ecosystem', ' salmon'), (' West Coast forests', ' The largest trees on Earth')]","IsCrucialTo(a, b) and ComesFrom(c, a)","WouldNotExistWithout(e, a)","(exists b (IsCrucialTo(a, b) and ComesFrom(c, a))) -> (forall a (WouldNotExistWithout(e, a)))","(exists a (exists c (exists b (IsCrucialTo(a, b) and ComesFrom(c, a))))) -> (exists a (exists e (WouldNotExistWithout(e, a))))"
intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick .", In 2008 most of the ice was extremely thin.  , This year most of the ice is at least two metres thick.,IsThin(a),IsThick(a),[],"[(' Ice', ' the ice')]",[],IsThin(a),IsThick(a),(IsThin(a)) -> (IsThick(a)),(exists a (IsThin(a))) -> (exists a (IsThick(a)))
fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red ., The first coat of white paint does most of the work of concealing the red.  , Adding more CO2 molecules to the atmosphere has diminishing effects.,"IsWhitePaint(a),  Conceals(a, c)","IsInAtmosphere(d),  HasDiminishingEffects(d)",[],[],[],"IsWhitePaint(a) and Conceals(a, c)",IsInAtmosphere(d) and HasDiminishingEffects(d),"(IsWhitePaint(a) and Conceals(a, c)) -> (IsInAtmosphere(d) and HasDiminishingEffects(d))","(exists a (exists c (IsWhitePaint(a) and Conceals(a, c)))) -> (exists d (IsInAtmosphere(d) and HasDiminishingEffects(d)))"
fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”", Limiting global warming to 1.5 degrees C is possible within the laws of chemistry and physics.  , Unprecedented changes are required to limit global warming to 1.5 degrees C.,"IsLimitedTo(a, b),  IsPossibleWithin(c)","IsRequired(d),  IsLimitedTo(a, b)",[],"[(' Global warming', ' global warming'), (' 1.5 degrees C', ' 1.5 degrees C')]","[(' 1.5 degrees C', ' global warming')]","IsLimitedTo(a, b) and IsPossibleWithin(c)","IsRequired(d) and IsLimitedTo(a, b)","(exists b (IsLimitedTo(a, b) and IsPossibleWithin(c))) -> (exists b (forall a (IsRequired(d) and IsLimitedTo(a, b))))","(exists a (exists c (exists b (IsLimitedTo(a, b) and IsPossibleWithin(c))))) -> (exists a (exists d (exists b (IsRequired(d) and IsLimitedTo(a, b)))))"
fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet ., Modellers did not consider the role of the sun and clouds important.  , The sun and clouds are major drivers for the climate on our planet.,"DidNotConsiderImportant(c, a),  DidNotConsiderImportant(c, b)","AreMajorDriversFor(a, d),  AreMajorDriversFor(b, d),  IsOnOurPlanet(d, e)",[],"[(' the sun', ' The sun'), (' clouds', ' clouds')]",[],"DidNotConsiderImportant(c, a) and DidNotConsiderImportant(c, b)","AreMajorDriversFor(a, d) and AreMajorDriversFor(b, d) and IsOnOurPlanet(d, e)","(DidNotConsiderImportant(c, a) and DidNotConsiderImportant(c, b)) -> (AreMajorDriversFor(a, d) and AreMajorDriversFor(b, d) and IsOnOurPlanet(d, e))","(exists c (exists b (exists a (DidNotConsiderImportant(c, a) and DidNotConsiderImportant(c, b))))) -> (exists a (exists e (exists d (exists b (AreMajorDriversFor(a, d) and AreMajorDriversFor(b, d) and IsOnOurPlanet(d, e))))))"
appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef ., There is a living Great Barrier Reef.  , They may have the opportunity to visit a living Great Barrier Reef.,IsLiving(a),IsLiving(d),[],[],"[(' Great Barrier Reef', ' living Great Barrier Reef')]",IsLiving(a),IsLiving(d),(exists a (IsLiving(a))) -> (forall d (IsLiving(d))),(exists a (IsLiving(a))) -> (exists d (IsLiving(d)))
appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities ."," ""The melting Greenland ice sheet is a major contributor to rising sea level."""," ""The oceans will rise by six metres and flood many of the world's largest cities.""","IsMelting(a),  ContributesToRising(a, b)","WillRiseBy(c, d),  WillFlood(e)",[],[],"[(' The melting Greenland ice sheet', ' The oceans')]","IsMelting(a) and ContributesToRising(a, b)","WillRiseBy(c, d) and WillFlood(e)","(exists a (IsMelting(a) and ContributesToRising(a, b))) -> (forall c (WillRiseBy(c, d) and WillFlood(e)))","(exists a (exists b (IsMelting(a) and ContributesToRising(a, b)))) -> (exists c (exists e (exists d (WillRiseBy(c, d) and WillFlood(e)))))"
intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 ., There is more polar ice in the world in recent years than at any time since satellite records began in 1979.  , There is no global warming.,"IsInWorld(a),  IsInRecentYears(a),  IsSince(d, e)",IsNotExist(f),[],[],[],"IsInWorld(a) and IsInRecentYears(a) and IsSince(d, e)",IsNotExist(f),"(IsInWorld(a) and IsInRecentYears(a) and IsSince(d, e)) -> (IsNotExist(f))","(exists a (exists e (exists d (IsInWorld(a) and IsInRecentYears(a) and IsSince(d, e))))) -> (exists f (IsNotExist(f)))"
fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem .", There are 80 graphs showing that global warming scare is overdone., Global warming is not unusual or a problem.,"Shows(a, b)","IsUnusual(c),  IsProblem(c)",[],[],[],"Shows(a, b)",~IsUnusual(c) and ~IsProblem(c),"(Shows(a, b)) -> (~IsUnusual(c) and ~IsProblem(c))","(exists a (exists b (Shows(a, b)))) -> (exists c (~IsUnusual(c) and ~IsProblem(c)))"
faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period .", The Northern Hemisphere experienced 'The Little Ice Age' where crops failed and plague wiped out tens of millions of people showing a correlation between solar activity and temperature on Earth.  , Solar activity impacts temperature on Earth.,"Experienced(d, e),  Failed(f),  WipedOut(g, h),  Correlation(a, b),  On(c)","Impacts(a, b),  On(c)",[],"[(' solar activity', ' Solar activity'), (' temperature', ' temperature'), (' Earth.', ' Earth')]","[(' The Northern Hemisphere', ' Earth'), (' The Little Ice Age', ' Earth')]","Experienced(d, e) and Failed(f) and WipedOut(g, h) and Correlation(a, b) and On(c)","Impacts(a, b) and On(c)","(exists e (exists d (Experienced(d, e) and Failed(f) and WipedOut(g, h) and Correlation(a, b) and On(c)))) -> (forall c (Impacts(a, b) and On(c)))","(exists a (exists d (exists g (exists f (exists h (exists b (exists c (exists e (Experienced(d, e) and Failed(f) and WipedOut(g, h) and Correlation(a, b) and On(c)))))))))) -> (exists a (exists c (exists b (Impacts(a, b) and On(c)))))"
intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change ."," Brown told a conference at the Vatican that the world needed ""brain washing"" on climate change.  "," The world needs ""brain washing"" on climate change.","Told(c,d),  AtLocation(d,e),  NeedsBrainWashing(a,b)","NeedsBrainWashing(a,b)",[],"[(' world', ' The world'), (' climate change', ' climate change')]","[(' Vatican', ' The world')]","Told(c,d) and AtLocation(d,e) and NeedsBrainWashing(a,b)","NeedsBrainWashing(a,b)","(exists e (Told(c,d) and AtLocation(d,e) and NeedsBrainWashing(a,b))) -> (forall a (NeedsBrainWashing(a,b)))","(exists a (exists d (exists b (exists c (exists e (Told(c,d) and AtLocation(d,e) and NeedsBrainWashing(a,b))))))) -> (exists a (exists b (NeedsBrainWashing(a,b))))"
appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet .", The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica., Every coastal city on the planet will be submerged.,"IsInAntarctica(a),  AreLargest(a),  AreFastestMelting(a)","IsOnPlanet(c),  WillBeSubmerged(c)",[],[],[],IsInAntarctica(a) and AreLargest(a) and AreFastestMelting(a),IsOnPlanet(c) and WillBeSubmerged(c),(IsInAntarctica(a) and AreLargest(a) and AreFastestMelting(a)) -> (IsOnPlanet(c) and WillBeSubmerged(c)),(exists a (IsInAntarctica(a) and AreLargest(a) and AreFastestMelting(a))) -> (exists c (IsOnPlanet(c) and WillBeSubmerged(c)))
faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world .", There has been a gradual increase in global precipitation and soil moisture.  ," Global warming is creating a safer, more peaceful world.","IsGraduallyIncreasing(a),  IsGraduallyIncreasing(b)","IsCreating(c, e),  IsSafer(d)",[],[],[],IsGraduallyIncreasing(a) and IsGraduallyIncreasing(b),"IsCreating(c, e) and IsSafer(d)","(IsGraduallyIncreasing(a) and IsGraduallyIncreasing(b)) -> (IsCreating(c, e) and IsSafer(d))","(exists a (exists b (IsGraduallyIncreasing(a) and IsGraduallyIncreasing(b)))) -> (exists c (exists e (exists d (IsCreating(c, e) and IsSafer(d)))))"
false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year .", The modest recent warming is producing U.S. and global crop production records virtually every year., Modest recent warming creates billions of dollars in new economic and human welfare benefits each year.,"IsRecent(a),  IsModest(a),  Produces(a, b)","IsRecent(a),  IsModest(a),  Creates(a, d),  IsInNewEconomicAndHumanWelfareBenefits(d),  OccursEachYear(f)",[],"[(' Modest recent warming', ' Modest recent warming')]",[],"IsRecent(a) and IsModest(a) and Produces(a, b)","IsRecent(a) and IsModest(a) and Creates(a, d) and IsInNewEconomicAndHumanWelfareBenefits(d) and OccursEachYear(f)","(IsRecent(a) and IsModest(a) and Produces(a, b)) -> (IsRecent(a) and IsModest(a) and Creates(a, d) and IsInNewEconomicAndHumanWelfareBenefits(d) and OccursEachYear(f))","(exists a (exists b (IsRecent(a) and IsModest(a) and Produces(a, b)))) -> (exists a (exists f (exists d (IsRecent(a) and IsModest(a) and Creates(a, d) and IsInNewEconomicAndHumanWelfareBenefits(d) and OccursEachYear(f)))))"
fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ...," ""Climate models have been over-hyping warming for decades."""," ""Climate models are inaccurate in predicting warming.""","HaveOverHypingWarming(a),  ForDecades(c)","AreInaccurate(a),  PredictWarming(a)",[],"[(' Climate models', ' Climate models')]",[],HaveOverHypingWarming(a) and ForDecades(c),PredictWarming(a) and AreInaccurate(a),(HaveOverHypingWarming(a) and ForDecades(c)) -> (PredictWarming(a) and AreInaccurate(a)),(exists a (exists c (HaveOverHypingWarming(a) and ForDecades(c)))) -> (exists a (PredictWarming(a) and AreInaccurate(a)))
