sentence,label,articles,Logical Form,Logical Form 2
"The back of a woman wearing a white jacket with blue jeans walking towards a flock of birds. Consequently, there was a dog inside.",0,"The back of a woman wearing a white jacket with blue jeans walking towards a flock of birds. Consequently, there was a dog inside.","(IsWearing(a,b) and IsInFlockOfBirds(c)) -> (IsInside(f))","(exists c (exists a (exists b (IsWearing(a,b) and IsInFlockOfBirds(c))))) -> (exists f (IsInside(f)))"
"A bird is flapping its wings on the water. Thus, the bird is flying over the trees.",0,"A bird is flapping its wings on the water. Thus, the bird is flying over the trees.",(IsFlapping(a) and IsOnWater(b) & (forall a ( IsFlapping(a) ->  IsFlying(a))) & (forall a ( IsFlying(a) ->  IsFlapping(a)))) -> (IsFlying(a) and IsOver(c)),(exists a (exists b (IsFlapping(a) and IsOnWater(b))) & (forall d ( IsFlapping(d) ->  IsFlying(d))) & (forall e ( IsFlying(e) ->  IsFlapping(e)))) -> (exists c (exists a (IsFlying(a) and IsOver(c))))
"A young boy is hugging a wooden post. Therefore, a boy gets his tongue stuck to a metal post.",0,"A young boy is hugging a wooden post. Therefore, a boy gets his tongue stuck to a metal post.",() -> (),() -> ()
"A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy. Therefore, a naked man is picking apples.",0,"A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy. Therefore, a naked man is picking apples.",(IsMany(b) and IsAMan(a)) -> (IsNaked(c) and IsPicking(d)),(exists a (exists b (IsMany(b) and IsAMan(a)))) -> (exists c (exists d (IsNaked(c) and IsPicking(d))))
"A man is painting letters using a stencil onto a round stand-up sign that is lying sideways. Consequently, a woman is writing on a napkin and showing it to her friend.",0,"A man is painting letters using a stencil onto a round stand-up sign that is lying sideways. Consequently, a woman is writing on a napkin and showing it to her friend.","(forall b (IsPainting(a,b) and IsRound(c) and IsStandUp(c))) -> (exists f (IsWriting(d,e) and IsShowing(d,f)))","(exists c (exists a (exists b (IsPainting(a,b) and IsRound(c) and IsStandUp(c))))) -> (exists f (exists e (exists d (IsWriting(d,e) and IsShowing(d,f)))))"
"A young boy sits on the shoulders of a woman, who is carrying a young girl. Hence, a woman is driving her kids around.",0,"A young boy sits on the shoulders of a woman, who is carrying a young girl. Hence, a woman is driving her kids around.","(exists b (IsCarrying(a,b))) -> (forall c (IsDriving(a,c)))","(exists a (exists b (IsCarrying(a,b)))) -> (exists c (exists a (IsDriving(a,c))))"
"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more. This implies that a little boy looks disgusted that is ball is dirty.",0,"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more. This implies that a little boy looks disgusted that is ball is dirty.",(forall c (IsLittle(a) and IsDirty(b) and IsDisgusted(c)) & (forall f (forall c ( IsSmelly(f) ->   IsDisgusted(c))))) -> (exists h (IsSmelly(f) and (IsSweaty(h) and IsDogPile(e)))),(exists c (exists a (exists b (IsLittle(a) and IsDirty(b) and IsDisgusted(c)))) & (forall i (forall j ( IsSmelly(i) ->   IsDisgusted(j))))) -> (exists f (exists e (exists h (IsSmelly(f) and (IsSweaty(h) and IsDogPile(e))))))
"A woman with a green headscarf, blue shirt and a very big grin. Consequently, the woman has been shot.",0,"A woman with a green headscarf, blue shirt and a very big grin. Consequently, the woman has been shot.",((IsWearingGreenHeadscarf(a) and HasBigGrin(a)) or (HasBlueShirt(a) and IsWearingGreenHeadscarf(a))) -> (HasBeenShot(a)),(exists a ((IsWearingGreenHeadscarf(a) and HasBigGrin(a)) or (HasBlueShirt(a) and IsWearingGreenHeadscarf(a)))) -> (exists a (HasBeenShot(a)))
"Three people sitting on some stairs laughing. Hence, the dogs are laughing.",0,"Three people sitting on some stairs laughing. Hence, the dogs are laughing.",(IsLaughing(a) and (IsLaughing(b) and IsLaughing(c))) -> (IsLaughing(b)),(exists c (exists a (exists b (IsLaughing(a) and (IsLaughing(b) and IsLaughing(c)))))) -> (exists b (IsLaughing(b)))
"Dog yawns. Thus, a dog is singing the National Anthem.",0,"Dog yawns. Thus, a dog is singing the National Anthem.","(IsYawns(a)) -> (IsSinging(a,b))","(exists a (IsYawns(a))) -> (exists a (exists b (IsSinging(a,b))))"
A person obscured in shadow in a gymnasium. This implies that the person is a vampire avoiding the sun.,0,A person obscured in shadow in a gymnasium. This implies that the person is a vampire avoiding the sun.,(IsObscuredInShadow(a) and IsInGymnasium(b) & (forall a (forall d (  AvoidsSun(d) ->  IsObscuredInShadow(a))))) -> (IsVampire(a) and AvoidsSun(d)),(exists a (exists b (IsObscuredInShadow(a) and IsInGymnasium(b))) & (forall f (forall g (  AvoidsSun(f) ->  IsObscuredInShadow(g))))) -> (exists a (exists d (IsVampire(a) and AvoidsSun(d))))
"A man with a blue, collared shirt sits in front of another man. Thus, a man is laying at the bach.",0,"A man with a blue, collared shirt sits in front of another man. Thus, a man is laying at the bach.","(forall b (exists b (IsSittingInFrontOf(a,b)))) -> (exists c (forall a (IsLyingAt(a,c))))","(exists a (exists b (IsSittingInFrontOf(a,b)))) -> (exists c (exists a (IsLyingAt(a,c))))"
"A young boy in green shorts balances on a pipe above a river. Consequently, nobody is balancing.",0,"A young boy in green shorts balances on a pipe above a river. Consequently, nobody is balancing.",(IsYoung(a) and IsOnPipe(c) and IsAboveRiver(d)) -> (~IsBalancing(e)),(exists c (exists a (exists d (IsYoung(a) and IsOnPipe(c) and IsAboveRiver(d))))) -> (exists e (~IsBalancing(e)))
"An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera. Hence, a woman is in a green nun uniform.",0,"An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera. Hence, a woman is in a green nun uniform.",(forall b (IsInGreenNunUniform(b))) -> (exists c (IsElderly(c) and IsInGreenNunUniform(a))),(exists b (IsInGreenNunUniform(b))) -> (exists c (exists a (IsElderly(c) and IsInGreenNunUniform(a))))
A canoe in the distance on a lake as seen from another canoe. It follows that a canoe goes over a waterfall.,0,A canoe in the distance on a lake as seen from another canoe. It follows that a canoe goes over a waterfall.,(IsInLake(a) and IsA canoe(a) & (forall a ( IsGoesOverWaterfall(a) ->   IsA canoe(a)))) -> (IsGoesOverWaterfall(a)),(exists a (IsInLake(a) and IsA canoe(a)) & (forall d ( IsGoesOverWaterfall(d) ->   IsA canoe(d)))) -> (exists a (IsGoesOverWaterfall(a)))
"A child with blond-hair looking out of a screen door. Therefore, a child is being held by his mother at the mall.",0,"A child with blond-hair looking out of a screen door. Therefore, a child is being held by his mother at the mall.",(exists d (IsBlond(c) and IsHeldBy(d) and IsAtMall(a)) & (forall f (forall d (  IsHeldBy(d) ->  IsBeingHeldBy(f)))) & (forall f (forall d ( IsBeingHeldBy(f) ->   IsHeldBy(d))))) -> (forall f (IsBeingHeldBy(f) and IsAtMall(a))),(exists c (exists a (exists d (IsBlond(c) and IsHeldBy(d) and IsAtMall(a)))) & (forall h (forall g (  IsHeldBy(g) ->  IsBeingHeldBy(h)))) & (forall i (forall j ( IsBeingHeldBy(i) ->   IsHeldBy(j))))) -> (exists f (exists a (IsBeingHeldBy(f) and IsAtMall(a))))
A man in glasses in a basement. It follows that the man is sitting in his living room.,0,A man in glasses in a basement. It follows that the man is sitting in his living room.,() -> (),() -> ()
"Little girl with very curly hair drinking her cup of juice. Consequently, a girl with curly hair is taking a big bite from a hamburger.",0,"Little girl with very curly hair drinking her cup of juice. Consequently, a girl with curly hair is taking a big bite from a hamburger.",(IsCurlyHaired(a) and IsDrinkingJuice(a)) -> (IsTakingABigBite(a) and IsCurlyHaired(a)),(exists a (IsCurlyHaired(a) and IsDrinkingJuice(a))) -> (exists a (IsTakingABigBite(a) and IsCurlyHaired(a)))
"A person strolling through an orange tinted woods with a dog. Thus, the person is inside.",0,"A person strolling through an orange tinted woods with a dog. Thus, the person is inside.","(forall b (IsInside(b,a))) -> (exists c (IsStrolling(c,a)))","(exists a (exists b (IsInside(b,a)))) -> (exists c (exists a (IsStrolling(c,a))))"
"Cityscape with four men on bikes serving as the focal point of picture. As a consequence, local robbers escape after stealing an otter.",0,"Cityscape with four men on bikes serving as the focal point of picture. As a consequence, local robbers escape after stealing an otter.",(exists c (IsOnBikes(a) and IsFocalPointOf(c))) -> (forall e (IsLocal(d) and IsStolen(e))),(exists c (exists a (IsOnBikes(a) and IsFocalPointOf(c)))) -> (exists e (exists d (IsLocal(d) and IsStolen(e))))
"This church choir sings to the masses as they sing joyous songs from the book at a church. Thus, a choir singing at a baseball game.",0,"This church choir sings to the masses as they sing joyous songs from the book at a church. Thus, a choir singing at a baseball game.","(exists a (IsSingsTo(a,b))) -> (forall c (IsSingingAt(c,d)))","(exists a (exists b (IsSingsTo(a,b)))) -> (exists c (exists d (IsSingingAt(c,d))))"
A singer wearing a leather jacket performs on stage with dramatic lighting behind him. It follows that the singer did not show up.,0,A singer wearing a leather jacket performs on stage with dramatic lighting behind him. It follows that the singer did not show up.,() -> (),() -> ()
"Four men in safety gear, one holding a camera, are standing on a platform. Hence, there are 6 men in priest robes.",0,"Four men in safety gear, one holding a camera, are standing on a platform. Hence, there are 6 men in priest robes.",(forall a (IsInPriestRobes(a))) -> (exists c ((IsInSafetyGear(c) and IsOnPlatform(d)))),(exists a (IsInPriestRobes(a))) -> (exists c (exists d ((IsInSafetyGear(c) and IsOnPlatform(d)))))
"A man with brown pants and boots moving a tent. Therefore, a hiker is sleeping in a tent.",0,"A man with brown pants and boots moving a tent. Therefore, a hiker is sleeping in a tent.",() -> (),() -> ()
"four people standing on a hiking trail in a forest with big tree logs on the ground close to them. Therefore, nobody is standing.",0,"four people standing on a hiking trail in a forest with big tree logs on the ground close to them. Therefore, nobody is standing.","(IsStandingOn(a,b) and IsInForest(c)) -> (~IsStanding(d))","(exists c (exists a (exists b (IsStandingOn(a,b) and IsInForest(c))))) -> (exists d (~IsStanding(d)))"
"Scientists frantically research ways to finally eliminate male baldness. It follows that a group of scientists walks into a bar, and order a drink, then sit down and drink it.",0,"Scientists frantically research ways to finally eliminate male baldness. It follows that a group of scientists walks into a bar, and order a drink, then sit down and drink it.","(exists a (IsResearched(a,b) and IsMale(a) and IsBald(b)) & (forall c (forall a (forall d (  IsOrdered(c,d) ->   IsMale(a)))))) -> (forall c ((IsWalkedIn(c) and IsOrdered(c,d)) and IsDrink(e)))","(exists a (exists b (IsResearched(a,b) and IsMale(a) and IsBald(b))) & (forall f (forall h (forall g (  IsOrdered(f,g) ->   IsMale(h)))))) -> (exists e (exists c (exists d ((IsWalkedIn(c) and IsOrdered(c,d)) and IsDrink(e)))))"
"Two people kickboxing, with others spectating. Consequently, two people ticking each other.",0,"Two people kickboxing, with others spectating. Consequently, two people ticking each other.","(forall a (IsKickboxing(a) and IsTwoPeople(a))) -> (exists b (IsTicking(a,b)))","(exists a (IsKickboxing(a) and IsTwoPeople(a))) -> (exists a (exists b (IsTicking(a,b))))"
"A man is walking in the street. Hence, a man is playing golf.",0,"A man is walking in the street. Hence, a man is playing golf.",() -> (),() -> ()
"A woman is sitting outside at a table, using a knife to cut into a sandwich. Hence, a woman is sitting inside.",0,"A woman is sitting outside at a table, using a knife to cut into a sandwich. Hence, a woman is sitting inside.","(IsSitting(a,b)) -> (IsSittingOutside(a) and IsUsingKnife(d) and IsCuttingIntoSandwich(e))","(exists a (exists b (IsSitting(a,b)))) -> (exists e (exists a (exists d (IsSittingOutside(a) and IsUsingKnife(d) and IsCuttingIntoSandwich(e)))))"
A person doing a trick on a snowboard. This implies that a person is ice skating.,0,A person doing a trick on a snowboard. This implies that a person is ice skating.,"(IsDoingTrick(a,c)) -> (IsIceSkating(a,d))","(exists c (exists a (IsDoingTrick(a,c)))) -> (exists a (exists d (IsIceSkating(a,d))))"
"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background. This implies that nobody has a tattoo.",0,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background. This implies that nobody has a tattoo.",(exists c (exists b (IsBlond(a) and HasTattooOfAnAngel(b) and IsOnHerArm(c))) & (forall e (forall b (  HasTattooOfAnAngel(b) ->   HasTattoo(e)))) & (forall e (forall b (  HasTattoo(e) ->   HasTattooOfAnAngel(b))))) -> (forall e (IsNobody(d) and ~HasTattoo(e))),(exists c (exists a (exists b (IsBlond(a) and HasTattooOfAnAngel(b) and IsOnHerArm(c)))) & (forall f (forall g (  HasTattooOfAnAngel(f) ->   HasTattoo(g)))) & (forall i (forall h (  HasTattoo(h) ->   HasTattooOfAnAngel(i))))) -> (exists e (exists d (IsNobody(d) and ~HasTattoo(e))))
"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark. Therefore, the people are at a play.",0,"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark. Therefore, the people are at a play.","(forall b (exists a (IsAt(a,b)))) -> (exists c (forall f ((IsOnStage(c) and IsSpotlit(e)) and (IsInDark(f) or IsAudience(f)))))","(exists a (exists b (IsAt(a,b)))) -> (exists f (exists e (exists c ((IsOnStage(c) and IsSpotlit(e)) and (IsInDark(f) or IsAudience(f))))))"
"Two men and a Frisbee. Therefore, two men playing with a basketball.",0,"Two men and a Frisbee. Therefore, two men playing with a basketball.",() -> (),() -> ()
"While one man, in the white cap, is golfing, three other men are in the middle of a conversation. As a consequence, four guys go bowling at the lanes.",0,"While one man, in the white cap, is golfing, three other men are in the middle of a conversation. As a consequence, four guys go bowling at the lanes.",(IsGolfing(b)) -> (IsGoingBowling(c) and IsBowling(d)),(exists b (IsGolfing(b))) -> (exists c (exists d (IsGoingBowling(c) and IsBowling(d))))
"A group of young adults with ""X"" on their hands, smiling. This implies that the group of adults are crying hysterially.",0,"A group of young adults with ""X"" on their hands, smiling. This implies that the group of adults are crying hysterially.",(exists b (IsYoungAdult(a) and HasX(b)) & (forall c (forall b (  HasX(b) ->  IsAdult(c))))) -> (forall c (IsAdult(c) and IsCryingHysterically(c))),(exists a (exists b (IsYoungAdult(a) and HasX(b))) & (forall e (forall d (  HasX(d) ->  IsAdult(e))))) -> (exists c (IsAdult(c) and IsCryingHysterically(c)))
"A black dog is swimming with a ball in his mouth. Hence, the dog is asleep in the grass.",0,"A black dog is swimming with a ball in his mouth. Hence, the dog is asleep in the grass.",(IsBlack(a) and IsSwimming(b) and IsInHisMouth(c)) -> (IsAsleep(d) and IsInGrass(e)),(exists c (exists a (exists b (IsBlack(a) and IsSwimming(b) and IsInHisMouth(c))))) -> (exists e (exists d (IsAsleep(d) and IsInGrass(e))))
"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd.",1,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd.","(exists a (IsTalkWith(a,b)) & (forall c (forall a (forall b ( IsTalkWith(a,b) ->   IsInFrontOfTeam(c)))))) -> (forall c (IsTalkWith(a,b) and IsInFrontOfTeam(c) and IsInCrowd(c)))","(exists a (exists b (IsTalkWith(a,b))) & (forall f (forall e (forall d ( IsTalkWith(d,e) ->   IsInFrontOfTeam(f)))))) -> (exists c (exists a (exists b (IsTalkWith(a,b) and IsInFrontOfTeam(c) and IsInCrowd(c)))))"
"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports.",1,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports.","(exists c (IsWatched(a,b) and IsOnSportsCenter(c)) & (forall f (forall e (forall c (  IsOnSportsCenter(c) ->  IsWatched(e,f)))))) -> (forall f (IsWatched(e,f)))","(exists c (exists a (exists b (IsWatched(a,b) and IsOnSportsCenter(c)))) & (forall i (forall h (forall g (  IsOnSportsCenter(g) ->  IsWatched(h,i)))))) -> (exists f (exists e (IsWatched(e,f))))"
"Six women wait to use a port-o-john in a field. Thus, women are outside.",1,"Six women wait to use a port-o-john in a field. Thus, women are outside.",(exists b (IsOutside(b)) & (forall c (forall a ( IsOutside(a) ->  IsWaitingToUse(c))))) -> (forall e (IsWaitingToUse(c) and IsInField(e))),(exists b (IsOutside(b)) & (forall f (forall g ( IsOutside(f) ->  IsWaitingToUse(g))))) -> (exists e (exists c (IsWaitingToUse(c) and IsInField(e))))
Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.,1,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.,(exists a ((IsWearingBlackTop(c) and IsSpeakingIntoBlueTippedMicrophone(e)) and IsBesideHer(a)) & (forall e (forall g (  IsSpeakingIntoBlueTippedMicrophone(e) ->  IsSpeakingIntoMicrophone(g))))) -> (forall h (forall g (IsSpeakingIntoMicrophone(g) and IsBesideHer(h)))),(exists e (exists c (exists a ((IsWearingBlackTop(c) and IsSpeakingIntoBlueTippedMicrophone(e)) and IsBesideHer(a)))) & (forall j (forall k (  IsSpeakingIntoBlueTippedMicrophone(j) ->  IsSpeakingIntoMicrophone(k))))) -> (exists h (exists g (IsSpeakingIntoMicrophone(g) and IsBesideHer(h))))
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object.",1,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object.",(forall b (IsTan(a) and Runs(a) and LeansOver(b))) -> (exists e (IsInWoolHat(d) and SitsOnGround(e))),(exists a (exists b (IsTan(a) and Runs(a) and LeansOver(b)))) -> (exists e (exists d (IsInWoolHat(d) and SitsOnGround(e))))
A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.,1,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.,"(exists b (IsStudies(a,b))) -> (forall c (IsRelatedTo(a,c) and IsStudies(a,b)))","(exists a (exists b (IsStudies(a,b)))) -> (exists c (exists a (exists b (IsRelatedTo(a,c) and IsStudies(a,b)))))"
"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball.",1,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball.",(IsRed(a) and Jumps(b) and IsCaughtInMouth(c) & (forall e (forall b (  Jumps(b) ->   IsBall(e))))) -> (IsCaught(d) and IsBall(e)),(exists c (exists a (exists b (IsRed(a) and Jumps(b) and IsCaughtInMouth(c)))) & (forall f (forall g (  Jumps(f) ->   IsBall(g))))) -> (exists e (exists d (IsCaught(d) and IsBall(e))))
"A group of dogs stand in the snow. Thus, there are animals outdoors.",1,"A group of dogs stand in the snow. Thus, there are animals outdoors.","(exists a (IsStandingIn(a,b)) & (forall c (forall a (forall b ( IsStandingIn(a,b) ->  IsOutdoors(c)))))) -> (forall c (IsOutdoors(c)))","(exists a (exists b (IsStandingIn(a,b))) & (forall f (forall e (forall d ( IsStandingIn(d,e) ->  IsOutdoors(f)))))) -> (exists c (IsOutdoors(c)))"
This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.,1,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.,(forall a (IsSnowboarding(a) and IsOnSmallPileOfSnow(c)) & (forall e (forall a ( IsSnowboarding(a) ->   IsYoungSnowboarder(e)))) & (forall e (forall a (  IsYoungSnowboarder(e) ->  IsSnowboarding(a))))) -> (exists e (IsYou(d) and IsYoungSnowboarder(e) and IsSizingUp(f))),(exists c (exists a (IsSnowboarding(a) and IsOnSmallPileOfSnow(c))) & (forall h (forall g ( IsSnowboarding(g) ->   IsYoungSnowboarder(h)))) & (forall i (forall j (  IsYoungSnowboarder(i) ->  IsSnowboarding(j))))) -> (exists f (exists e (exists d (IsYou(d) and IsYoungSnowboarder(e) and IsSizingUp(f)))))
"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts.",1,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts.",(exists b (exists a (IsWatching(a) and AreInKilts(b)))) -> (forall e (forall c (IsWatching(c) and ThrowsLongPole(e)))),(exists a (exists b (IsWatching(a) and AreInKilts(b)))) -> (exists e (exists c (IsWatching(c) and ThrowsLongPole(e))))
"A boy is riding down the road between two cows. Consequently, a boy, a road and two cows.",1,"A boy is riding down the road between two cows. Consequently, a boy, a road and two cows.","(IsRiding(a,b) & (forall a (forall b ( IsRiding(a,b) ->  IsWith(a,b))))) -> (IsWith(a,b) and AreTwo(c))","(exists a (exists b (IsRiding(a,b))) & (forall e (forall d ( IsRiding(d,e) ->  IsWith(d,e))))) -> (exists c (exists a (exists b (IsWith(a,b) and AreTwo(c)))))"
A bald man is getting out of a small blue car. It follows that the man is bald.,1,A bald man is getting out of a small blue car. It follows that the man is bald.,() -> (),() -> ()
"Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background. Thus, young boys kicking around a soccer ball.",1,"Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background. Thus, young boys kicking around a soccer ball.","(exists b (IsYoung(a) and IsKicked(a,b))) -> (forall c (IsInBackground(c)))","(exists a (exists b (IsYoung(a) and IsKicked(a,b)))) -> (exists c (IsInBackground(c)))"
"A girl playing a violin along with a group of people. Consequently, a girl is playing an instrument.",1,"A girl playing a violin along with a group of people. Consequently, a girl is playing an instrument.",(exists b (IsGirl(b) and IsPlaying(a)) & (forall a ( IsPlaying(a) ->  IsPlay(a))) & (forall a ( IsPlay(a) ->  IsPlaying(a)))) -> (forall c (IsPlay(c))),(exists a (exists b (IsGirl(b) and IsPlaying(a))) & (forall d ( IsPlaying(d) ->  IsPlay(d))) & (forall e ( IsPlay(e) ->  IsPlaying(e)))) -> (exists c (IsPlay(c)))
Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom. It follows that two boys washing their hands.,1,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom. It follows that two boys washing their hands.,(exists b (IsSmall(b) and IsUsed(b) and IsHands(a)) & (forall d (forall b ( IsSmall(b) ->  IsTwo(d)))) & (forall b (forall d ( IsTwo(d) ->  IsSmall(b)))) & (forall d (forall b (  IsUsed(b) ->  IsTwo(d)))) & (forall b (forall d ( IsTwo(d) ->   IsUsed(b))))) -> (forall d (IsTwo(d) and IsHands(a))),(exists a (exists b (IsSmall(b) and IsUsed(b) and IsHands(a))) & (forall f (forall e ( IsSmall(e) ->  IsTwo(f)))) & (forall h (forall g ( IsTwo(g) ->  IsSmall(h)))) & (forall i (forall j (  IsUsed(i) ->  IsTwo(j)))) & (forall l (forall k ( IsTwo(k) ->   IsUsed(l))))) -> (exists a (exists d (IsTwo(d) and IsHands(a))))
A soccer player in white kicks a ball as another soccer player lunges towards the ball and a third soccer player in red follows close by. This implies that there are three soccer players.,1,A soccer player in white kicks a ball as another soccer player lunges towards the ball and a third soccer player in red follows close by. This implies that there are three soccer players.,(IsInWhite(b) and IsKicked(c)) -> (3 and IsThree(d)),(exists c (exists b (IsInWhite(b) and IsKicked(c)))) -> (exists d (3 and IsThree(d)))
"Children playing a video game together. Thus, the kids are indoors playing a video game.",1,"Children playing a video game together. Thus, the kids are indoors playing a video game.","(forall c (exists b (IsPlaying(b) and IsTogether(b,c))) & (forall b (forall c (forall d ( IsIndoors(d) ->   IsTogether(b,c)))))) -> (forall a (forall d (IsIndoors(d) and IsPlaying(a))))","(exists c (exists b (IsPlaying(b) and IsTogether(b,c))) & (forall f (forall e (forall g ( IsIndoors(e) ->   IsTogether(f,g)))))) -> (exists a (exists d (IsIndoors(d) and IsPlaying(a))))"
Two people in coats kiss on the side of a road. This implies that people show their appreciation for another.,1,Two people in coats kiss on the side of a road. This implies that people show their appreciation for another.,"(exists a (IsInCoats(a) and IsOnSideOfRoad(b) and IsKissed(a,b)) & (forall e (forall a (forall d ( IsInCoats(a) ->  IsShownAppreciationFor(d,e))))) & (forall e (forall a (forall d (forall b (  IsKissed(a,b) ->  IsShownAppreciationFor(d,e))))))) -> (forall e (IsShownAppreciationFor(d,e) and IsAppreciated(d)))","(exists a (exists b (IsInCoats(a) and IsOnSideOfRoad(b) and IsKissed(a,b))) & (forall f (forall h (forall g ( IsInCoats(f) ->  IsShownAppreciationFor(g,h))))) & (forall l (forall i (forall j (forall k (  IsKissed(i,j) ->  IsShownAppreciationFor(k,l))))))) -> (exists e (exists d (IsShownAppreciationFor(d,e) and IsAppreciated(d))))"
Woman reading a book with a grocery tote. It follows that a woman is reading.,1,Woman reading a book with a grocery tote. It follows that a woman is reading.,"(IsReading(a,b)) -> (IsCarrying(a,c))","(exists a (exists b (IsReading(a,b)))) -> (exists c (exists a (IsCarrying(a,c))))"
"A man wearing a brown hoodie is shopping for snacks. As a consequence, the man is wearing brown.",1,"A man wearing a brown hoodie is shopping for snacks. As a consequence, the man is wearing brown.","(forall a (IsWearing(a,b) and IsShoppingFor(c))) -> (exists d (IsWearing(d,e)))","(exists c (exists a (exists b (IsWearing(a,b) and IsShoppingFor(c))))) -> (exists e (exists d (IsWearing(d,e))))"
"A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. As a consequence, a man is in front of a camera.",1,"A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. As a consequence, a man is in front of a camera.","(exists b (IsInFrontOf(b,a)) & (forall c (forall a (forall b ( IsInFrontOf(b,a) ->  IsYoung(c))))) & (forall a (forall b ( IsInFrontOf(b,a) ->    LooksAtCamera(a))))) -> (forall c ((IsYoung(c) and WearsBlueTShirt(d) and WearsSweatpants(e) and StandsOnStove(f)) and LooksAtCamera(a)))","(exists a (exists b (IsInFrontOf(b,a))) & (forall i (forall h (forall g ( IsInFrontOf(g,h) ->  IsYoung(i))))) & (forall j (forall k ( IsInFrontOf(j,k) ->    LooksAtCamera(k))))) -> (exists f (exists e (exists c (exists d (exists a ((IsYoung(c) and WearsBlueTShirt(d) and WearsSweatpants(e) and StandsOnStove(f)) and LooksAtCamera(a)))))))"
"This church choir sings to the masses as they sing joyous songs from the book at a church. Therefore, the church is filled with song.",1,"This church choir sings to the masses as they sing joyous songs from the book at a church. Therefore, the church is filled with song.",(exists b (forall a (exists a (IsSings(a) and IsTo(b)))) & (forall c (forall a ( IsSings(a) ->  IsFilledWith(c)))) & (forall a (forall d ( IsSings(a) ->   IsSong(d)))) & (forall c (forall b (  IsTo(b) ->  IsFilledWith(c))))) -> (exists d (forall c (IsFilledWith(c) and IsSong(d)))),(exists a (exists b (IsSings(a) and IsTo(b))) & (forall f (forall e ( IsSings(e) ->  IsFilledWith(f)))) & (forall h (forall g ( IsSings(g) ->   IsSong(h)))) & (forall i (forall j (  IsTo(i) ->  IsFilledWith(j))))) -> (exists c (exists d (IsFilledWith(c) and IsSong(d))))
"A man and a woman are standing at the side of an inflatable climbing structure. As a consequence, a man and a woman are standing.",1,"A man and a woman are standing at the side of an inflatable climbing structure. As a consequence, a man and a woman are standing.",(IsStanding(a) and IsStanding(b)) -> (IsOccurred(d)),(exists a (exists b (IsStanding(a) and IsStanding(b)))) -> (exists d (IsOccurred(d)))
